,Tweet,corpus
1342,Que coño te paso? #MissUniverse2022,que co te paso missuniverse
1343,Marika no entendí,marika entend
1344,"She's actually not. 

I said what I said.",actually said said
1345,Kosovo me representa.,kosovo representa
1346,Atleast pinay parin ang nanalo! Hahaha pakunswelo! #MissUniverse2022,atleast pinay parin ang nanalo hahaha pakunswelo missuniverse
1347,"La expresión de Amanda fue tipo:✨ya fue, no fue, se fue. A seguir brillando y soñando✨. Agarra tu corona, chama que ganaste. 

#MissUniverse2022 
#MissVenezuela",la expresi n de amanda fue tipo ya fue fue se fue seguir brillando ando agarra tu corona chama que ganaste missuniverse missvenezuela
1348,Congrats Miss USA for winning the Miss Universe Pageant! &lt;3 &lt;3 &lt;3,congrats miss usa winning miss universe pageant lt lt lt
1349,Ella misma quedó como que ª,ella misma qued como que
1350,Nos hicieron la maldad dejando a Amanda de Virreina. Que robo,no hicieron la maldad dejando amanda de virreina que robo
1351,"#MissUniverse2022 es R’Bonney Gabriel, la representante de #EstadosUnidos. 
Ella es una diseñadora de moda, modelo e instructora de costura respetuosa con el medio ambiente y apasionada por la vida.",missuniverse e r bonney gabriel la representante de estadosunidos ella e una dise adora de moda modelo e instructora de costura respetuosa con el medio ambiente apasionada por la vida
1352,Mi$$ Univer$e,mi univer e
1353,Tremendo robo,tremendo robo
1354,Todos somos Kosovo,todos somos kosovo
1355,Ven que ninguna de las dos reaccionó como deberían se quedaron vacíe y está vaina es que.... Igual que cuando el negrito ese le puso la corona a la que no era y luego se la quitó... Pero esta vez no corrigieron en pleno escenario... Ni corregirán tampoco....,ven que ninguna de la do reaccion como deber se quedaron vac e est vaina e que igual que cuando el negrito ese le puso la corona la que era luego se la quit pero esta vez corrigieron en pleno escenario ni corregir n tampoco
1356,La Bella y la Bestia... Y ganó la Bestia....,la bella la bestia gan la bestia
1357,Proud pinoy emz,proud pinoy emz
1358,y bueno...buenas noches,bueno buenas noches
1359,"Becerros, ladrones.",becerros ladrones
1360,"Mucho talento y marketing, pero la organización @MissUniverse consideró que nuestra candidata Amanda Dudamel no merecía la corona 👑  #ConcursamosComoNuncaYPerdimosComoSiempre",mucho talento marketing pero la organizaci n missuniverse consider que nuestra candidata amanda dudamel merec la corona concursamoscomonuncayperdimoscomosiempre
1361,https://t.co/ILsTjFgjT3,http co ilstjfgjt
1362,https://t.co/2AOOgtqoBq,http co aoogtqobq
1363,Verga estoy comenzando  a creer en el bloqueo @maduro,verga estoy comenzando creer en el bloqueo maduro
1364,Ustedes son Unos Miss MMG🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡,ustedes son unos miss mmg
1365,"Yehey!!! Masaya pa rin ako. Nagkatotoo prediction ko.
Congratulations Miss USA Rbonney Gabriel!!!

Hello Miss Montana! Isampal nya sayo ang korona.

#MissUniverse 
#MissUniverse2022",yehey masaya pa rin ako nagkatotoo prediction ko congratulation miss usa rbonney gabriel hello miss montana isampal nya sayo ang korona missuniverse missuniverse
1366,robaron,robaron
1367,TRAAAAAMPAAAAAAAAAAAAAA. SE ROBARON ESA MIERDAAAAAA,traaaaampaaaaaaaaaaaaaa se robaron esa mierdaaaaaa
1368,"¡Se vienen cositas! 
#MissUniverse https://t.co/3NRWi2mZjF",se vienen cositas missuniverse http co nrwi mzjf
1369,"Cállense la boca vale, no tienen vergüenza",c llense la boca vale tienen verg enza
1370,https://t.co/l8IwUgEUkN,http co l iwugeukn
1371,Estafadores,estafadores
1372,"Segundo 21 del vídeo. Vean vestido amarillo, Kosovo.

Esa soy yo.",segundo del v deo vean vestido amarillo kosovo esa soy yo
1373,"She didnt respect the response time, her answers were not as complete and good as Venezuela's 

I really want to know what did you consider to make this woman Miss Universe

Literally NO ONE understand this result 

#MissUniverse #MissUniverse2022",didnt respect response time answer complete good venezuela really want know consider make woman miss universe literally one understand result missuniverse missuniverse
1374,nossa mas a venezuelana &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,nossa ma venezuelana gt gt gt gt gt gt gt gt gt gt gt gt gt gt
1375,Marico nos robaron sean honestos y entreguen esa corona a Amanda Dudamel Newman #MissUniverse2022 #AmandaDudamel  #missvenezuela,marico no robaron sean honestos entreguen esa corona amanda dudamel newman missuniverse amandadudamel missvenezuela
1376,wtf 😩,wtf
1377,https://t.co/3l1iIU2a9J,http co l iiu j
1378,ROBOOOOO,robooooo
1379,ay me da una tristeza la venezolana le tenía unas ganas y la otra ni se emociona https://t.co/soRypnKji7,ay da una tristeza la venezolana le ten unas ganas la otra ni se emociona http co sorypnkji
1380,los comentarios mencionando incluso a otras aparte de venezuela fíjate en que fallaron...,los comentarios mencionando incluso otras aparte de venezuela f jate en que fallaron
1381,inappropriate,inappropriate
1382,@AmandadudameI era tuya fin.,amandadudamei era tuya fin
1383,"Still a happy ending tho for this year's MU edition a half pinoy won!!
Congrats 🎉",still happy ending tho year mu edition half pinoy congrats
1384,Ladrones de mierda,ladrones de mierda
1385,https://t.co/0t5NyoGLip,http co nyoglip
1386,Ni ella se lo creía porque sabía que era un robo.,ni ella se lo cre porque sab que era un robo
1387,Winner ko talaga si R'Bonney after prelims uhuhuhuhuh galing!!!,winner ko talaga si r bonney prelim uhuhuhuhuh galing
1388,"#USA's #RBonneyGabriel is the new @MissUniverse! ✨️

Take a look at #MissUniverse2021 @HarnaazKaur crowning her successor 👑

#71stMissUniverse @MissTXUSA #HarnaazKaurSandhu #BeautyPageant #MissUniverse2022

https://t.co/EgvGcO5GAB",usa rbonneygabriel new missuniverse take look missuniverse harnaazkaur crowning successor stmissuniverse misstxusa harnaazkaursandhu beautypageant missuniverse http co egvgco gab
1389,WE WERE ROBBED,robbed
1390,Marico o sea hasta la misma USA no creía que iba a ganar😭😭😭😭😭,marico sea hasta la misma usa cre que iba ganar
1391,You should be ashamed,ashamed
1392,Su maldita madre,su maldita madre
1393,🇺🇸❤️🇵🇭,
1394,Incrédula la reacción de las misses...,incr dula la reacci n de la miss
1395,"what is this lol

#MissUniverse2022

https://t.co/fFLa7s5FzG",lol missuniverse http co ffla fzg
1396,VAYANSE A LA VERGA GRINGOS DE MIERDA,vayanse la verga gringo de mierda
1397,"Que me perdone Miss USA, pero realmente Venezuela merecía el premio. 😩",que perdone miss usa pero realmente venezuela merec el premio
1398,Ni se sorprendió,ni se sorprendi
1399,VENEZUELAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,venezuelaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
1400,JOH SIGUE HACIENDO CAGADALES,joh sigue haciendo cagadales
1401,"Su cara: Si, ya sabía, bitches 

Ugh.. 😒😒😒",su cara si ya sab bitch ugh
1402,https://t.co/x5aqJ8uLxR,http co x aqj ulxr
1403,Half filipina 👸,half filipina
1404,Venezuela se lo merecía mucho más,venezuela se lo merec mucho
1405,"🇺🇲🇺🇲🇺🇲🇺🇲 EYYYYYYY!!! USA! USA! USA!
The first Filipino American to win @MissUniverse!!!
#71stMissUniverse #MissUniverse2022 #MissUniverse",eyyyyyyy usa usa usa first filipino american win missuniverse stmissuniverse missuniverse missuniverse
1406,el fraude más grande,el fraude grande
1407,Y que what?  Ella también quedó verrrde🤣🤣,que ella tambi n qued verrrde
1408,QUIERO UN RECONTEO DE VOTOS ESTO ES FRAUDE ELECTORAL,quiero un reconteo de votos esto e fraude electoral
1409,Claro... Una premiación en Estados Unidos y se la lleva la gringa... Vaya robo. La mexicana venía con todo y la de RD,claro una premiaci n en estados unidos se la lleva la gringa vaya robo la mexicana ven con todo la de rd
1410,"Si hubieses llevado la Bandera de Venezuela de 8 estrellas, fueses Mis Universo, pero, cómo llevaste la de Narnia de 7 estrellas que no existe, te jodiste muchachita.... Sorry🤭",si hubieses llevado la bandera de venezuela de estrellas fueses mi universo pero c mo llevaste la de narnia de estrellas que existe te jodiste muchachita sorry
1411,Filipino pa din nagwagi 😁,filipino pa din nagwagi
1412,Un robo total...🇻🇪,un robo total
1413,"Burla, qué show. El robo, la estafa, no la dan.",burla qu show el robo la estafa la dan
1414,"Lo linda que se comportó Amanda cómo le sonríe y la ayuda a salir del shock 🥺🥰 esa es MI reina.

#MissUniverse2022",lo linda que se comport amanda c mo le sonr e la ayuda salir del shock esa e mi reina missuniverse
1415,"Verga pero a buen robo de pana , nadie en el escenario se lo creía",verga pero buen robo de pana nadie en el escenario se lo cre
1416,https://t.co/Nssu2zJifC,http co nssu zjifc
1417,Lo hiciste muy bien Amanda...,lo hiciste muy bien amanda
1418,"En shock quedé. 
Tieza cómo Britney. 
Una locura 😐",en shock qued tieza c mo britney una locura
1419,absolutamente nadie se movió,absolutamente nadie se movi
1420,a win is a win https://t.co/bPdOIv3EWF,win win http co bpdoiv ewf
1421,Soy la cara de España en el fondo,soy la cara de espa en el fondo
1422,ainda sem acreditar https://t.co/6i2B5623ce,ainda sem acreditar http co b ce
1423,"Cómo que perdió Venezuela?
 https://t.co/vg2jN5icrl",c mo que perdi venezuela http co vg jn icrl
1424,Ladrones!,ladrones
1425,"LA, CARA DE KOSOVO, LITERALMENTE FUE MI CARA",la cara de kosovo literalmente fue mi cara
1426,El robo más grande en la historia del miss universo... Y según la patrona iba a ser justa la competencia,el robo grande en la historia del miss universo seg n la patrona iba ser justa la competencia
1427,"Congratulations to our new Miss Universe - R'Bonney Gabriel of USA. Well-deserved. Love from Philippines. 🇵🇭

#MissUniverse2022 #MissUniverse",congratulation new miss universe r bonney gabriel usa well deserved love philippine missuniverse missuniverse
1428,"¡REVISEN EL VAR! 

#MissUniverse https://t.co/hAYmTervRw",revisen el var missuniverse http co haymtervrw
1429,https://t.co/pYH0CTGgnY,http co pyh ctggny
1430,Still #PinoyPride 😍,still pinoypride
1431,Soy Kosovo xd,soy kosovo xd
1432,Miss USA more like Miss Fraud,miss usa like miss fraud
1433,Esa será tu opinión,esa ser tu opini n
1434,Soy las candidatas confundidas y aplaudiendo sin ganas a la tramoya descarada. #Fraude #MissUniverse https://t.co/dd3ksnRGAf,soy la candidatas confundidas aplaudiendo sin ganas la tramoya descarada fraude missuniverse http co dd ksnrgaf
1435,He aquí como el retrato de Picazo ha tomado forma en @MissUniverse,aqu como el retrato de picazo ha tomado forma en missuniverse
1436,TRAMPA 🙂🙂🙂,trampa
1437,Fui Kosovo,fui kosovo
1438,De verdad que la china les hizo la maldad coronando a una de su propia organización,de verdad que la china le hizo la maldad coronando una de su propia organizaci n
1439,Um ano pra fazer essa seleção?? Parabéns miss universe 👏👏👏,um ano pra fazer essa sele parab n miss universe
1440,"Miss USA is the Miss Universe 2022. The fact that she’s also a pride Filipino. Congrats USA. Thank you for raising our flag in behalf of the Filipinos. Celeste Cortesi &amp; R’Bonney Gabriel are the pride of the Philippines. 

#MissUniverse2022 #Cele5te https://t.co/NvXxxara6F",miss usa miss universe fact also pride filipino congrats usa thank raising flag behalf filipino celeste cortesi amp r bonney gabriel pride philippine missuniverse cele te http co nvxxxara f
1441,Venezuela was robbed🙄,venezuela robbed
1442,Usa no es digna. Me siento mal por Dominicana también .... :/,usa e digna siento mal por dominicana tambi n
1443,Y es así como te roban sin pistola,e como te roban sin pistola
1444,ayyy me ZzZzzZ,ayyy zzzzzz
1445,ni ella misma se lo creia lol,ni ella misma se lo creia lol
1446,"La cara de Miss Spain tipo: Pero pues.. Cada quien 

🙄",la cara de miss spain tipo pero pues cada quien
1447,Que cagada,que cagada
1448,isipin na lang naten fil-am pa ren naman si miss usa may representation pa ren tayo,isipin na lang naten fil pa ren naman si miss usa may representation pa ren tayo
1449,"Siento un dejavú increíble del mismo momento con Nadia! Impactada. La venezolana, hermosa! Y las demás latinas, bellas tb, pero por lo visto no darán 👑 a Latam! #TeamNadia forever, de @itsmissnadia no se vuelve más!✨️🇵🇾",siento un dejav incre ble del mismo momento con nadia impactada la venezolana hermosa la dem latinas bellas tb pero por lo visto dar n latam teamnadia forever de itsmissnadia se vuelve
1450,Ni ella creía ajajjaaj,ni ella cre ajajjaaj
1451,"Las frases de Chávez contra Estados Unidos, las secundo, lo siento, pero aquí si son válidas.",la frases de ch vez contra estados unidos la secundo lo siento pero aqu si son v lidas
1452,"La van a pagar caro, por un lado entiendo que tienen que revivir el concurso en Estados Unidos, pero con Amanda hacerle esa cochinada a Amanda, ustedes de verdad merecían que le mandaremos a Andrea Romero",la van pagar caro por un lado entiendo que tienen que revivir el concurso en estados unidos pero con amanda hacerle esa cochinada amanda ustedes de verdad merec que le mandaremos andrea romero
1453,"Justicia por ellas. 
#MissUniverse2022 https://t.co/wEkM91OA2f",justicia por ellas missuniverse http co wekm oa f
1454,Cómo va a ganar con ese moño tan feo???? Es que yo de verdad no puedo.,c mo va ganar con ese mo tan feo e que yo de verdad puedo
1455,Pero si la española la da mil vueltas a esta 🤦🏻,pero si la espa ola la da mil vueltas esta
1456,https://t.co/5gzaAMyRyr,http co gzaamyryr
1457,Que bella USA  😍😍😍,que bella usa
1458,De verdad son un asco de organización,de verdad son un asco de organizaci n
1459,Congratulations #MissUniverse2022 Miss USA ✨🙌🏻🥂👏🏻👏🏻👏🏻,congratulation missuniverse miss usa
1460,Dito capitalismo que todo lo puedes,dito capitalismo que todo lo puedes
1461,at least half pinay 🥲,least half pinay
1462,"BUTI NA LANG  WINNER SI FIL AM  RBONNEY LIKE PBBM
HINDI SYA NA BE LIKE LENI ROBREDO 
😂😂😂",buti na lang winner si fil rbonney like pbbm hindi sya na like leni robredo
1463,amo ver a latinoamerica unida en los citados,amo ver latinoamerica unida en los citados
1464,😭😭😭😭😭😭 me dueleeee,dueleeee
1465,Really? 😒😒😒,really
1466,FRAUDEEEEEEEEEEEEEEE https://t.co/VAi3YKfjTi,fraudeeeeeeeeeeeeeee http co vai ykfjti
1467,"Amanda Dudamel, representante de Venezuela, estuvo entre las dos finalistas del #MissUniverse2022. Finalmente fue R'Bonney Gabriel, de Estados Unidos, la ganadora del certamen de belleza.

https://t.co/ep3r4DmZxO",amanda dudamel representante de venezuela estuvo entre la do finalistas del missuniverse finalmente fue r bonney gabriel de estados unidos la ganadora del certamen de belleza http co ep r dmzxo
1468,"It's still a victory for the PH tho 🇵🇭
Congratulations queen R'bonney!
#MissUniverse",still victory ph tho congratulation queen r bonney missuniverse
1469,https://t.co/UPgNpXHOBv,http co upgnpxhobv
1470,LADRONES 🖕🖕🖕🖕🖕🖕🖕,ladrones
1471,La cara de USA lo dice todo.,la cara de usa lo dice todo
1472,"¡¡Robo, robo!!",robo robo
1473,"La real Estafa, The real WTF!!",la real estafa real wtf
1474,Los de la casa de papel se quedaron pendejos delante de este robo.,los de la casa de papel se quedaron pendejos delante de este robo
1475,"ela é muito bonita, porém a venezuelana deveria ter levado essa",ela muito bonita por venezuelana deveria ter levado essa
1476,"aparte de fea , come mierda",aparte de fea come mierda
1477,"After 10 years, USA reign again. Same hairstyle with Olivia 😄",year usa reign hairstyle olivia
1478,Rigged AF!! 🤨,rigged af
1479,Las respuestas del tweet 😭😂,la respuestas del tweet
1480,TRAMOYEROS,tramoyeros
1481,"Que nada, eso fue un robo chica",que nada eso fue un robo chica
1482,"Anyway... Congratulations USA!!! 🎉
#MissUniverse2022",anyway congratulation usa missuniverse
1483,nah hijos de puta ustedes no tienen alma,nah hijos de puta ustedes tienen alma
1484,"I say DESERVE! Not because she's half Filipina, but because she's really that ""Transformational Leader"" that they're looking for: personal experience &amp; actions.

Business-wise, it will cement their association with US despite being Thai-owned.",say deserve half filipina really transformational leader looking personal experience amp action business wise cement association u despite thai owned
1485,marico todo el mundo quedó en shock ajksjaks literal nadie fue a felicitar a la jeva de inmediato como suelen hacer en otras ocasiones,marico todo el mundo qued en shock ajksjaks literal nadie fue felicitar la jeva de inmediato como suelen hacer en otras ocasiones
1486,Cambiaron un Ferrari por un Twingo,cambiaron un ferrari por un twingo
1487,"Nadie se le acercó a la ""ganadora"". Ella tampoco se sentía merecedora. Pero asi es la vida",nadie se le acerc la ganadora ella tampoco se sent merecedora pero asi e la vida
1488,Woahhhhhhh 🫶🏼,woahhhhhhh
1489,They are both deserving! Kahit sino! Congrats USA 👏,deserving kahit sino congrats usa
1490,Miss usa se parece a las tías mías jajajajajajaja cómo va a ganar por dios jajajajajajajajajajajajjaja,miss usa se parece la jajajajajajaja c mo va ganar por dios jajajajajajajajajajajajjaja
1491,55555555 okay https://t.co/HppIjfeVcu,okay http co hppijfevcu
1492,Wow Congratulations Host Country New Miss Universe 2022,wow congratulation host country new miss universe
1493,ES QUE  CLMO ME VAS A DECIR QUE ESA CORONA NO ERA DE VENEZUELAAAAA,e que clmo va decir que esa corona era de venezuelaaaaa
1494,y yo pensaba que este año iba a estar bien gestionado el concurso pero no 🥴,yo pensaba que este iba estar bien gestionado el concurso pero
1495,Ni comparable con la de Guate jaja,ni comparable con la de guate jaja
1496,https://t.co/UyZlI0Z6RC,http co uyzli z rc
1497,MARICO QUE ARRECHERA,marico que arrechera
1498,cómo se supone q les expliquemos esto a las siguientes generaciones,c mo se supone q le expliquemos esto la siguientes generaciones
1499,En la preliminar no podía ni caminar la de USA whaaaat?😵‍💫,en la preliminar pod ni caminar la de usa whaaaat
1500,"Hahahah ninguna fue a felicitar a la gringo-filipa, más bien estaban abrazando a la dominicana.",hahahah ninguna fue felicitar la gringo filipa bien estaban abrazando la dominicana
1501,Los carometros de la mayoría de las misses atrás lo dice todo...,los carometros de la mayor de la miss atr lo dice todo
1502,👑,
1503,"En fin, cancelados ustedes.",en fin cancelados ustedes
1504,Una verdadera estafa esto.,una verdadera estafa esto
1505,Robbed,robbed
1506,"لحظة الإعلان عن ملكة جمال الكون وهي إمريكيه👸
#MissUniverse2023 
https://t.co/EXJss1ouLG",missuniverse http co exjss oulg
1507,Redemption. Lol 🇵🇭🇺🇸,redemption lol
1508,Yee selamat pake kebaya nanti bulan juni,yee selamat pake kebaya nanti bulan juni
1509,Robadoooo,robadoooo
1510,Robo y fraude se llama esto.,robo fraude se llama esto
1511,esq marico hasta a rd t acepto que okei ganara PERO USA MALDITA SEA??? https://t.co/dQ4zS9vTVQ,esq marico hasta rd acepto que okei ganara pero usa maldita sea http co dq z vtvq
1512,ME VOY A M4TAR Y ME VOY A GRABAR Y TE LO VOY A ENVIAR Y CAMBIARÉ EL RUMBO ENTERO DE GU VIDA COMO LA CONOCES ACTUALMENTE YA VAS A VER,voy tar voy grabar te lo voy enviar cambiar el rumbo entero de gu vida como la conoces actualmente ya va ver
1513,El robo de la historia!,el robo de la historia
1514,"la cara de usa lo dijo todo, ella sabía que no era ella.",la cara de usa lo dijo todo ella sab que era ella
1515,Timadores,timadores
1516,☠️☠️☠️☠️☠️☠️,
1517,"Congrats! 😭
Mej kalmado na mga accla. Pampalubag.
#MissUniverse2022",congrats mej kalmado na mga accla pampalubag missuniverse
1518,"La Cara de Miss Kosovo, la tipa ni se inmutó...",la cara de miss kosovo la tipa ni se inmut
1519,"Legit nga na kung kanino ka kulay ng gown at yung crown, sa kanya mapupunta. Congratulations Miss USA #MissUniverse2022",legit nga na kung kanino ka kulay ng gown yung crown sa kanya mapupunta congratulation miss usa missuniverse
1520,"La cara de KOSOVO, ESPAÑA Y JAMAICA me representan",la cara de kosovo espa jamaica representan
1521,Descaradosssssss,descaradosssssss
1522,https://t.co/hnvO5AbfJ2,http co hnvo abfj
1523,Nadie se lo cree 🤡,nadie se lo cree
1524,"they really said 
https://t.co/t98VccqXdK",really said http co vccqxdk
1525,"Pensando en cuando sus compañeras de Miss USA dijeron de que hubo favoritismo cuando fue escogida

https://t.co/Qw9L4FADYk",pensando en cuando sus compa era de miss usa dijeron de que hubo favoritismo cuando fue escogida http co qw l fadyk
1526,Proud parin kasi may dugong pinoy....Congrats Miss. USA,proud parin kasi may dugong pinoy congrats miss usa
1527,errrrr,errrrr
1528,👑🌎,
1529,no lo ví pero todo arreglado todo corrupto fraude complot etc etc,lo v pero todo arreglado todo corrupto fraude complot etc etc
1530,Congrats! Miss USA 🇺🇸👑,congrats miss usa
1531,VENEZUELA PIDE RECONTEOOO,venezuela pide reconteooo
1532,"Un robooooooo, todos saben que esa corona era de VENEZUELAAAAA",un robooooooo todos saben que esa corona era de venezuelaaaaa
1533,"A la de USA la veo muy tranquila mk, robo fino fue lo que hicieron",la de usa la veo muy tranquila mk robo fino fue lo que hicieron
1534,Hasta ellas lo saben. https://t.co/eDtMoyHCLw,hasta ellas lo saben http co edtmoyhclw
1535,https://t.co/tll9JUSe7S,http co tll juse
1536,LADRONES,ladrones
1537,Ni ellas mismas lo podían creer. Hasta USA era team Venezuela.,ni ellas mismas lo pod creer hasta usa era team venezuela
1538,"Deposite su odio acá abajo ⤵️

🇻🇪🤌🏻",deposite su odio ac abajo
1539,"Lo siento pero creo que ganó Miss USA por ser país anfitrión, #MissVenezuela Amanda Dudamel merecía esa corona. Creo que el #MissUniverse nos ha robado la corona hoy y con Stefany Gutiérrez en 2018 ✨👑✨
#MissUniverse2022 #Venezuela 1ra Finalista 🇻🇪",lo siento pero creo que gan miss usa por ser pa anfitri n missvenezuela amanda dudamel merec esa corona creo que el missuniverse no ha robado la corona hoy con stefany guti rrez en missuniverse venezuela ra finalista
1540,LE ROBARON LA CORONA A AMANDA SUCIOS #MissUniverse2022,le robaron la corona amanda sucios missuniverse
1541,I thought Venezuela was going to win:/,thought venezuela going win
1542,เซ็งๆๆๆๆๆๆ,
1543,"La gringa reaccionó como el corredor que fue out cuando el Umpire cantó quiero y le robó el juego perfecto a Armando Galarraga, mano que rabia",la gringa reaccion como el corredor que fue cuando el umpire cant quiero le rob el juego perfecto armando galarraga mano que rabia
1544,la manera en q no estaba enterada de esto?,la manera en q estaba enterada de esto
1545,Mal,mal
1546,USA no merecía esa corona.,usa merec esa corona
1547,La cara de Kosovo cuando dicen «USA» es un poema,la cara de kosovo cuando dicen usa e un poema
1548,🤔,
1549,"A mi opinión debió ser una de las otras dos, pero ni me sorprende. Ya lo sospechaba desde que le dieron más tiempo para hablar, a pesar de que sonó el timbre (?), hasta ñas presentadoras se dieron cuenta 🤷🏻‍♀️",mi opini n debi ser una de la otras do pero ni sorprende ya lo sospechaba desde que le dieron tiempo para hablar pesar de que son el timbre hasta presentadoras se dieron cuenta
1550,"Of course she won! It was Rigged
That crown belong to #Venezuela and You know it.",course rigged crown belong venezuela know
1551,tumbenle la cuenta mutis,tumbenle la cuenta mutis
1552,El mayor robo de la historia.,el mayor robo de la historia
1553,CONGRATULATIONS MISS UNIVERSE USA!,congratulation miss universe usa
1554,Im them https://t.co/0LJ476I8Qz,im http co lj qz
1555,"Que hace el 2do lugar en ese caso? A dónde se va? Nunca la mencionan? No le dan ni un ramo? 
No sé nada, porque Venezuela cuando entra en el top 3 siempre gana. 😫😫😫",que hace el lugar en ese caso nde se va nunca la mencionan le dan ni un ramo nada porque venezuela cuando entra en el top siempre gana
1556,Congratulations Miss USA🤗,congratulation miss usa
1557,https://t.co/UYqO7f48e4,http co uyqo f e
1558,"Soy Kosovo reaccionando de que ganó USA el #MissUniverse 

#MissUniverso https://t.co/cekLVyZNEn",soy kosovo reaccionando de que gan usa el missuniverse missuniverso http co ceklvyznen
1559,https://t.co/8JHvGqNyBn,http co jhvgqnybn
1560,nuevamente el mundo en contra de los malparidos gringos,nuevamente el mundo en contra de los malparidos gringo
1561,Soy Kosovo https://t.co/l1RtNOkPY2,soy kosovo http co l rtnokpy
1562,"LA CORONA SE LA MERECIA REPÚBLICA DOMINICANA O VENEZUELA, se nota BASTANTE que esta comprado",la corona se la merecia rep blica dominicana venezuela se nota bastante que esta comprado
1563,El fraude de la historia,el fraude de la historia
1564,"Sorry, USA esta linda...pero Venezuela era mujeron en todos los aspectos",sorry usa esta linda pero venezuela era mujeron en todos los aspectos
1565,guevo sin sal la loca esa,guevo sin sal la loca esa
1566,Soy la cara de Miss Kosovo.,soy la cara de miss kosovo
1567,"The last time USA won, if I am not mistaken, was with a Filipina at the end holding her hands (Janine).. now, USA won with Filipina blood running through her veins

#Filipina
#MissUniverse2022 
#MissUniverse",last time usa mistaken filipina end holding hand janine usa filipina blood running vein filipina missuniverse missuniverse
1568,Bien ganado USA 🇺🇲,bien ganado usa
1569,Se dieron cuenta que ni ella lo creía y que nadie se acercó a felicitarla ?,se dieron cuenta que ni ella lo cre que nadie se acerc felicitarla
1570,"JAJJAJAJAJAAJAJAJAJJAJAJAJAJAJA el robo del siglo, qué asco.",jajjajajajaajajajajjajajajajaja el robo del siglo qu asco
1571,felizzzzz,felizzzzz
1572,"USA ni lo creía, no entendía nada",usa ni lo cre entend nada
1573,"Yo no ví esta vaina pero la caraja que ganó tiene cara de que no esperaba ganar ajsjsjsksks 

Mañana salen los videos del jurado de que en el papel decía que ganaba Venezuela pero había otro jurado secreto que recibió una maleta de dólares para que ganara la gringa ajshejwjwjwwj",yo v esta vaina pero la caraja que gan tiene cara de que esperaba ganar ajsjsjsksks ana salen los video del jurado de que en el papel dec que ganaba venezuela pero hab otro jurado secreto que recibi una maleta de lares para que ganara la gringa ajshejwjwjwwj
1574,"Si hubiera ganado rd te lo paso, pero usa marico? ISNFOQ MAMDITOS",si hubiera ganado rd te lo paso pero usa marico isnfoq mamditos
1575,horrorr,horrorr
1576,Justa ganadora,justa ganadora
1577,Ladrones,ladrones
1578,"hagan zoom a las caras de españa y la mayoría de las chamas para que se hagan una idea de la mía cuando vi esta vaina, que bolas",hagan zoom la caras de espa la mayor de la chamas para que se hagan una idea de la cuando vi esta vaina que bola
1579,Congrats #MissUSA #MissUniverse #71,congrats missusa missuniverse
1580,Yung itsura ni Kosovo epic 😂,yung itsura ni kosovo epic
1581,"Momento nefasto en la historia venezolana! 
#MissUniverse2022",momento nefasto en la historia venezolana missuniverse
1582,Aaah 😒,aaah
1583,Borra esa porquería. 🙄,borra esa porquer
1584,La misma mardición que cuando ganó Olivia mardita sea,la misma mardici n que cuando gan olivia mardita sea
1585,Compradisimo.,compradisimo
1586,El robo es escandaloso,el robo e escandaloso
1587,"Congratulations, USA!",congratulation usa
1588,Hasta las misses de atrás quedaron cks,hasta la miss de atr quedaron cks
1589,Fraudeeeeeeee buuuuuuuu,fraudeeeeeeee buuuuuuuu
1590,your mother,mother
1591,"Estados Unidos 🇺🇸 se lleva #MissUniverso, felicidades 🎉 https://t.co/5iZFudDDu3",estados unidos se lleva missuniverso felicidades http co izfudddu
1592,La cara de kosovo lo dice todo 🤡🤡,la cara de kosovo lo dice todo
1593,Ni ella se lo podía creer 🤡,ni ella se lo pod creer
1594,Lol pinshi mugrero de concurso,lol pinshi mugrero de concurso
1595,At the end of the day! FILIPINA parin ang panalo. ✨🇵🇭🇺🇲,end day filipina parin ang panalo
1596,everyone knows who the real miss universe is https://t.co/3sdIXwufab,everyone know real miss universe http co sdixwufab
1597,"Piden VAR los venezolanos. Peor que la FIFA dicen. 😂😂😂
(Ay, estos certámenes de belleza)",piden var los venezolanos peor que la fifa dicen ay estos cert menes de belleza
1598,que,que
1599,R O B O y sin pistola.,r b sin pistola
1600,soy Kosovo atrás,soy kosovo atr
1601,LA CARA DE KOSOVO shes like me,la cara de kosovo shes like
1602,Nooooo de pana Amanda más guapa,nooooo de pana amanda guapa
1603,"Esa verga era de Venezuela
😡😡😡😡",esa verga era de venezuela
1604,Fraude 😡😤 Esa corona era de Amanda Dudamel 👑 #Venezuela #MissUniverse,fraude esa corona era de amanda dudamel venezuela missuniverse
1605,no sé ni como sentirme,ni como sentirme
1606,Amanda eres una GRANDE💚,amanda eres una grande
1607,Congratulations R'Bonney Gabriel #MissUniverse2022 👑🇺🇸🇵🇭,congratulation r bonney gabriel missuniverse
1608,La reacción de España y Kosovo me da años de vida hasta ellas mismas saben que fue un robo váyanse a la mierda el miss universo es una estafa,la reacci n de espa kosovo da o de vida hasta ellas mismas saben que fue un robo v yanse la mierda el miss universo e una estafa
