,Tweet,corpus
151,"(errata)
And the winner is...
¡¡Venezuela 🇻🇪 Amanda Dudamel!!",erratum winner venezuela amanda dudamel
152,La cara de todas las de atrás skxjskak,la cara de toda la de atr skxjskak
153,https://t.co/Pc8zDmQLvj,http co pc zdmqlvj
154,What a disappointment,disappointment
155,"La VERDADERA REINA es Venezuela @AmandadudameI 👑🇻🇪

#MissUniverse2022 #MissUniverse",la verdadera reina e venezuela amandadudamei missuniverse missuniverse
156,soy kosovo que se quedó tiesa y en shock,soy kosovo que se qued tiesa en shock
157,"100% deserving of this opportunity!! Her outfits, her confidence, her answers!! Congrats USA 🇺🇸 😍👑",deserving opportunity outfit confidence answer congrats usa
158,"“Venezolana”

Porque Amanda Dudamel fue la primera finalista del #MissUniverse2022 pero no pudo levantar la corona que finalmente recayó en la estadounidense, R'Bonney Gabriel. https://t.co/G8Q4zWGCxs",venezolana porque amanda dudamel fue la primera finalista del missuniverse pero pudo levantar la corona que finalmente recay en la estadounidense r bonney gabriel http co g q zwgcxs
159,"Esas expresiones en las caras de las misses que aplauden es como ""WTF, en serio ella ganó?""",esas expresiones en la caras de la miss que aplauden e como wtf en serio ella gan
160,ซีนใหญ่,
161,Amaño y robo descarado 😑,ama robo descarado
162,Congrats!🇺🇲,congrats
163,Yo hubiera entendido que ganara republica dominicana porque también fue muy buena... ¿pero USA? ¿Que es eso? esa niña ni en el top 15 ha debido estar,yo hubiera entendido que ganara republica dominicana porque tambi n fue muy buena pero usa que e eso esa ni ni en el top ha debido estar
164,Miss Venezuela like.... Of course I'm not winning,miss venezuela like course winning
165,muito roubado...........,muito roubado
166,Coño era de República Dominicana o Venezuela pero no no USA no llegaba a ellas 2,co era de rep blica dominicana venezuela pero usa llegaba ellas
167,"No es por nada pero la cara de las demás candidatas es...🧐

Además nadie fue a abrazarla tipo ""¡Mka ganaste!""",e por nada pero la cara de la dem candidatas e adem nadie fue abrazarla tipo mka ganaste
168,"Ganó USA, nuestro país! 🥳🇺🇸🇵🇷",gan usa nuestro pa
