,Tweet
435,This free speech thing is going really well for him. Karma is really teaching him some things about his behavior as this dumpster fire of management is the most fun thing to watch. Elon is the best example of entitled hubris. https://t.co/uahaKWNL2k
436,"This man is conflicted
He’s just experimenting with the app 
No clear cut direction https://t.co/EETeAQ0CLD"
437,"News you can use what if you're not lying 
you may answer right now boss man. https://t.co/4hmrXEsjKr"
438,"Does that mean it can’t be retweeted?

And are individual organic tweets monetized? How? https://t.co/biJ7DLuBDT"
439,So Nazis are welcome on your site. You just have to know how to find them. You’re the most obtuse wealthy asshole in history. And you despicably smeared Paul Pelosi by amplifying a vicious garbage lie which also allowed you to bash gay people. Go Trump yourself.  @elonmusk https://t.co/8NmdFeOaQ4
440,Isn't this how it already worked?! 💀 https://t.co/mgfEmD0h0w
441,So.... shadow banning. https://t.co/lzrfI9x2RK
442,"Pandering to the advertisers while still letting people throw 'hard r's' around this hellscape without consequence.

Weak. https://t.co/gQrTRZqinD"
443,Elon Musk bought Twitter and the sum total of that was temporarily banning Kathy Griffin for a lame troll. https://t.co/zDweQinwfC
444,Start with yourself https://t.co/J3EaKKLioG
445,so shadowbanning? really does not fix the issue https://t.co/c7Jbu4ASTU
446,Libertad de expresión (*) https://t.co/cQ6pvk38cs
447,"The “not freedom of reach” asterisk wasn’t in the original pitch. 

What was the point of buying Twitter? https://t.co/zDweQinwfC"
448,In which Elon Musk invents shadow banning. https://t.co/gGQaXKzPZi
449,that’s just censorship with extra steps https://t.co/jwCp7QaaGq
450,E a galera achando q o tt ia de comes e bebes https://t.co/JDkjM1e4Uq
451,"How are we not saying anything “negative” on twitter now? The whole thing is that we all come on here to have discussions, and they aren’t usually about cupcake recipes. 

This censorship policy is worse than the other guys. https://t.co/zDweQiF77a"
452,"Ah yes, ""demonetized"" because Nazi trolls really care if their harassment and slurs are making the billionaire owner of Twitter a few fractions of a cent. That'll show em. https://t.co/NN6NMCqh9H"
453,"É exatamente por ser diferente de tudo que essa rede era a única que ainda funcionava querido, tornar ela igual as outras só assina o fim dela. Idiota. https://t.co/SoFOehW5gF"
454,"yes, same as the rest of the internet, where nazis seeking out like-minded nazis can find each other. historically this never leads to any problems. completely understand why we’d want to take the worst part of the internet and make sure it can happen on this platform. fucker. https://t.co/ZmZfnWN8Ij"
455,Reported as negative/hate tweet. https://t.co/UPki9GyS2U
456,What is a “negative” tweet? https://t.co/X3tPiS3Z9S
457,"What constitutes a "" negative"" or ""hate tweet""? Language straight out the progressive playbook. https://t.co/Wwvi0i0m8o"
458,Did the engineers remember to turn on the “detect negative speech” setting before you fired them? LOL. https://t.co/i8ThTMkXNo
459,"Besides all the other questions being asked here... What remaining team is going to be responsible for enforcing this on an individual level, after so many contractors/content moderators were let go? https://t.co/szkoTYTRtv"
460,"""Negative Tweets""

Da bin ich ja gespannt, wie der Master of Free Speech selektieren wird https://t.co/RDAXfNiPa5"
461,Und wer programmiert das? Der Portier..? https://t.co/kOC7OHAp1N
462,So…shadow bans. This should go over swell with the best parts of his replies. https://t.co/AlXQT1BpJH
463,"🗣pointing out that BC basketball has never made a Final Four isn’t hateful or negative, it’s a fact https://t.co/i0561JIyN7"
464,de que sirve si ya va a valer verga no jodas https://t.co/KEh2EJsOKN
465,So still no freedom of speech https://t.co/uQ74fniXcO
466,Shadowbanning is now official Twitter policy https://t.co/i26EVCTuup
467,"cukup bagus sih, dibebaskan untuk berbicara tp hrs ttp sesuai aturan. krn semua ada etikanya https://t.co/SBjSXtXSIo"
468,"What happened...
Who is make you feel crazy... https://t.co/UrveyOeZWM"
469,¿Qué será un tweet negativo...? https://t.co/YRpchIRzQX
470,Whose feelings get to decide what tweets are offensive? https://t.co/MGO5yuzGVU
471,"I spend way too much time on this website, and it seems like a bad sign that many of these policies seem like they are not responding to a particular need and are unclear about how they would work. https://t.co/OTWItZ7uD2"
472,"""Negative Tweets""?????

but muh free speech tho... 🥺 https://t.co/wsxMc1ifzL"
473,Who gets to define a hate tweet? https://t.co/DuhHBWhZBC
474,Smart. https://t.co/Lpr5IfDdZH
475,True 🧡 https://t.co/HIOXEt8mMH
476,How will that be determined? Especially the 'negative' tweets? I'm most interested in the technical aspect...is it AI? User reporting? Algorithms looking for certain words? https://t.co/YeeI7Stt4i
477,"Yay?

Well, as long as we all agree what are negative/hate tweets, this should work out just fine. https://t.co/yqRByxDy4p"
478,"What's a negative tweet????

Major journalism implications here. https://t.co/LKFVMs6vKW"
479,Freedom of Reach is when you become the thane of Markarth in Skyrim https://t.co/wLrCldC9xi
480,Well said https://t.co/GiqI1klJui
481,"One of the things that Twitter preserved, somewhat, was the linear feed. The more monkeying with the feed and algorithm to decide things like what is ""negative,"" the more this becomes Facebook and there's a reason literally no one is suggesting Facebook as an alternative. https://t.co/zLtrElccTd"
482,Cola aqui na quadra e traz seus 5 reais otario https://t.co/BFo0wYJogd
483,"This is the most important thing Elon Musk has said since buying Twitter. 

People aren’t leaving Twitter because of Elon. They are leaving because it’s a dumpster fire. https://t.co/zr4pxWdGNZ"
484,Elon Musk acaba de hacer girar a Twitter exactamente 360 grados. Tanto debate para volver a la política que ya funcionaba. https://t.co/qSWyh2RSi7
485,"This will create an ecosystem that is unfriendly to the base usertype. Base users want to share their thoughts and occasionally have that amplified organically. When it's controlled it only favours the influencer and those with a budget, which pushes out the base user eventually. https://t.co/XJjXA6IXDj"
486,"So we’ve gone through all this to arrive at - on the surface - exactly the same policy as before.

Cool. https://t.co/GDMnWzbz3n"
487,"WHAT THE FUCK IS “NEGATIVE TWEET”

ELON MUSK SEEMS OPEN TO DROWNING THE FREEDOM OF SPEECH THAT CHALLENGES IDEAS.

THE VERY FREEDOM OF SPEECH HE CLAIMED TO LOVE SO MUCH. 

WHAT CONSTITUTES A NEGATIVE TWEET IN THE FIRST PLACE, THIS ISNT FREEDOM OF SPEECH. https://t.co/0S0fyFG8VF"
488,Los gringos y su primera enmienda https://t.co/Yhg0GG5EOx
489,"This gives me hope, @cahaikes. ""New @Twitter policy is freedom of speech, but not freedom of reach,"" @elonmusk. https://t.co/Zgc5cizxfi"
490,"O, a miało być tak pięknie. https://t.co/RgJSpyIiSs"
491,✨ positive vibes only ✨ https://t.co/MDAGtz1p9O
492,"What Elon Musk is describing here is ""shadowbanning."" Apparently the *new* policy is what everybody thought the old policy was. https://t.co/rtqiVCDrYz"
493,"“Freedom of Speech absolutist, except for speech that is subjectively determined to be negative, which will be heavily suppressed.”

Its actually impressive to be that wrong on so many levels, in so few characters…and people think this blowhard is a rocket scientist savant.. https://t.co/sqgNmdHlCY"
494,bet this won't apply to the hateful hippy scum https://t.co/HZrylKYpNJ
495,Is this dude the worst free speech advocate in history or what? https://t.co/XghEOUdL5f
496,Your pals call this shadowbanning https://t.co/3daEB41KYb
497,"Okay freedom of speech includes the ability to reach and have your voice be heard. Free speech is a given in an empty field but needs to be protected in a crowded theater. You need to allow reach, if people don't want to see that unfollow or block them done. https://t.co/xiTl86m7kr"
498,"Wish Elon’s reach would stay off my timeline. Don’t follow him, don’t care for him but always see his little face and opinion pop up. 🙄 https://t.co/4lvNOzSqa6"
499,"Twitter será Facebook, el fin se acerca. https://t.co/CM5O6C7GqA"
500,https://t.co/d0ioSjyA0D https://t.co/GwnCzynsDN
501,"@elonmusk New Twitter hate speech policy:
“The Nazis are there if you want them 😉” https://t.co/ORygOeRJ7R"
502,Fuck that shit https://t.co/N1Gcle7hYz
503,"“Free speech includes not only the inoffensive but the irritating, the contentious, the eccentric, the heretical, the unwelcome and the provocative provided it does not tend to provoke violence. Freedom only to speak inoffensively is not worth having.”
(Lord Justice Sedley, 1999) https://t.co/M59dWXY3eL"
504,Just go to Mars already. https://t.co/lSMxpvjrLb
505,"??? I've got so many questions. 

1. What determines if a tweet is neg/hate?
2. Who determines?
3. How is reach determined? 
4. Does the Republican Party know you just killed their entire campaign platform? https://t.co/HOXIkQDNrM"
506,https://t.co/oBipDyYm8v https://t.co/CxkcNgmVkx
507,New Twitter policy is don’t be mean to El*n https://t.co/v6qn8cyRSj
508,Shadowbanning is now official Twitter policy. https://t.co/HB9R2KAfiI
509,"Would appreciate a review of my tweets as they are rarely printed and I don't know why.
@elonmusk https://t.co/adISNf1Zvv"
510,👍👍 https://t.co/jTSzfhp76f
511,"I.e. instant invisibility for posts about Musk's financial crimes, union busting, exploding cars, humorless cringe https://t.co/7uLzmrVRr1"
512,This is otherwise known as “content moderation” https://t.co/geny1OZ5GW
513,"Great policy, but this power was abused by previous people like @jack and @paraga with their corrupt partnerships to silence people for no offenses. Also, Twitter should specifically let users know what Tweet caused what restriction and length of time. This only helps for future. https://t.co/mn1FwjnDy8"
514,this sort of feels like the captain of the titanic worrying about if everyone was dressed properly for dinner while water filled the forward compartments https://t.co/kDe0NQ1yE1
515,Like a breath of fresh air! Nothing worse than the feeling that you’re being lied to by ideologues. https://t.co/KeDJYaC6IL
516,claiming to invent the very concept/practice you purchased twitter to stop is some fucking visionary billionaire shit https://t.co/16IgTejhDz
517,this tweet keeps aging better and better every day LMAO https://t.co/foHU60nJKu https://t.co/V37Kuke3xN
518,"Donc Elon Musk ne compte pas respecter la loi française en autorisant les contenus haineux. 

Curieux de voir la réaction des pouvoirs publics. https://t.co/uMUH6NhZdc"
519,"Interested to hear how ""negative/hate tweets"" will be defined. https://t.co/X9YIRPrVH6"
520,"What is a negative tweet and who decides what it is? 

Will Musk be delegating the definition to Tom Fitton, Catturd, and Mike Cernovich? https://t.co/HLs2R3RhKN"
521,DELETE THE INTERNET REEEEEEEE https://t.co/K1mG6bgAnZ
522,"ah yes, twitter, famous for agreement, status quo, and never arguing https://t.co/uErpWvbPld"
523,"This sounds exactly like Twitter’s old policy on hate speech, which Elon Musk derided as oppressive. What was the point of all this? https://t.co/pNAWkC0kSV"
524,"Don't allow the anonymous troll-demons to post with the real verified people @elonmusk. Put them in their own hell, along with others like them: LOL LULZ BRO BRUH hyper-users are narcissistic, Machiavellian, psychopathic and sadistic. Really: https://t.co/l4SLpzUwmn https://t.co/RWTYUL276Z"
525,"Interesante posición. Diferencia la ""Libertad de Expresión"" del ""Derecho de Amplificación"". https://t.co/KXkhrL7vj0"
526,para los que no saben inglés dice que le gustan los furros en bola https://t.co/kr7Iicycq7
527,i’m already unboosted and unmonetized. nothing to lose if i keep tweeting about your dirty poopy pants. https://t.co/sq9wDvkiZS
528,"@elonmusk Twitter is not the ocean; Twitter is a swimming pool. Pools have rules and are designed for certain expectations of safety. You can’t open a pool and tell people that yeah, there are sharks in there but it’s okay, they’re not being boosted or monetized. https://t.co/ORygOeRJ7R"
529,beta cuck soyboy is personally gonna read every tweet to make sure you nit being mean to him. too funny. https://t.co/dhoCTNMpB3
530,Shadow banning is back!! Probably he will shadow ban leftists tweeps. https://t.co/OeLpjKwTDq
531,And freedom of “Twitter” interpretation I suppose. https://t.co/FrQuITYs5O
532,"Will you allow any public discussion of what constitutes ""hate speech"" and how it is identified? Who will be judging what it is? The same old @splcenter smear merchants? Or will you allow other perspectives to be aired? https://t.co/P7QiofH0bT"
533,Bu arkadaş twitter'ı bozarsa nereye gideceğiz? https://t.co/kpCzKVZGOv
534,"@elonmusk But how will you define a hate tweet? And what if hate purveyors actively swarm a non-hateful post or thread? How will participants in that thread be protected? It wouldn’t be an issue of discovery in that case. If you are letting hate accounts act with no restriction, they will. https://t.co/ORygOeRJ7R"
535,Erm…who is going to tell him https://t.co/JDgbq1GDF6
536,"Are negative tweets the same thing as hate tweets? 

‘Negation is the mind's first freedom’ https://t.co/ra7dlSy5Tf"
537,So you’re going to moderate the content? https://t.co/8k67kGb8LK
538,Judged by who? https://t.co/XKevYopux5
539,"No, le van a volver a cerrar la cuenta a Kanye West https://t.co/jtfNXbq6tT"
540,"Sooooo you changed nothing on shadow ban? 

Guess I will never be seen again.  Lol 🤦‍♀️ https://t.co/JKrQ4tRkSu"
541,"Meh.
Maybe just let me see all the tweets, in order, from the people I follow? https://t.co/3Aujj6YsvY"
542,"So yeah, as I told you: The issue is that he's stupid:
https://t.co/qLETDdwnHn

""Liberals"" stopped buying his B.S. so all his fanboys are just 8chan ""libertarians"" now and he's been reading right-wing ""BLUECHECKS LIBS SUPPRESSED OUR MEMES!"" conspiracies since the divorce... https://t.co/MM6POxAkzw"
543,There go all my Yankees bits. https://t.co/X2BkeTqjWs
544,Débloque moi Petit https://t.co/qY86Y2YXD0
545,"Shadowbanning (at least of tweets) is to become official policy. I'm not at all opposed to this as long as
1) it happens in a transparent manner with due process, unlike what happens now; and
2) it doesn't affect what you see if you follow the account &amp; sort by ""latest tweets"". https://t.co/QYz4BlFhdQ"
546,"and who's going to set that up exactly...

didn't everybody leave? https://t.co/0UO7lGTeJA"
547,Seems fair? https://t.co/N10BCuzNEB
548,"Can he define ""negative"" or ""hate"" Tweets? For example, when I'm lambasting antivax disinformation and the antivaxxers promoting it or quackery and the quacks promoting it, will that be considered ""negative"" and therefore ""deprioritized"" (shadow banned, actually)? https://t.co/Irfhg7v7gU"
549,"The most hopeful tweet from Elon since the takeover? Key question: how are hate tweets identified? Absent amazing AI, hard to do in real time on individual tweets. Volume too great. But could Twitter users flag ACCOUNTS prone to hate that by default then get less boost? How else? https://t.co/co81TWwahH"
550,"How are you defining ""negative/hate"" tweets? https://t.co/KRQ60nJjSD"
551,"Musk will ""deboost"" negative tweets while standing over and berating the one remaining content moderator at the end of his 36-hour shift. WHY AREN'T YOU DEBOOSTING ALL THIS ELON HATE, TIMMY? DEBOOST HARDER, TIMMY. https://t.co/Tnz7bk7Kd3"
552,Shut up nigga https://t.co/2yHs3PcMPq
553,“I have invented this thing called shadow banning.” https://t.co/bEriJtC48U
554,"Hate mean??
Just like you done with your wife account 🤔🤔 https://t.co/mPKFjzncZR"
555,And who defines what is/isn’t a negative tweet vs a hate tweet? https://t.co/ZmPKlVe5YC
556,Man of the people https://t.co/VOF6XnSudu
557,It will be interesting to see how negative/hate tweets are defined. https://t.co/uubVfx9fjN
558,"More idiocy. This will mean abusive accounts just keep posting terrible abusive hate speech and attacking people and they’ll only be deboosted if they’re observed and reported an acted upon. It also means it’s completely possible to for example, organize as a hate group. https://t.co/xACrNlPErg"
559,"Bude to stačit? No, nevím, nevím. https://t.co/DChznhOUKg"
560,https://t.co/dNHNlWhwyA https://t.co/144VMGlEPD
561,"See. Even emerald extractor Elon now understands that there is a consequence to “free speech” 

Something he denied $44bn ago. https://t.co/0P8ZqPIl88"
562,And three extremely hardcore engineers will build it over the weekend (or get fired for mediocre hardcoreness). https://t.co/C8XfdCJ41s
563,I come here for the negative tweets tho. https://t.co/Gdfgqp4ygR
564,Que terapia este tipo! https://t.co/lS7J1Yz9DZ
565,Scream all you like — in an empty room and in the corner. https://t.co/kGMC6YKVP1
566,My baby don’t know if he coming or going … https://t.co/aMzoBUOQbG
567,nerf hate https://t.co/jZe8sgerc0
568,"“Negative/hate tweets will be max deboosted &amp; demonetized” says Twitter owner Elon Musk.

“You won’t find the tweet unless you specifically seek it out,“ he adds, affirming an apparent commitment to expand the practice commonly known as “shadowbanning.” https://t.co/Sxr5ERSY69"
569,And the negative/hate speech is? https://t.co/AK24N2BWIE
570,"Guys, this is otherwise known as shadowbanning, which is what conservatives have been raging about for years. https://t.co/uPR9Nwo9yD"
571,"There is no freedom of speech without freedom of reach!
Guess what will happen to 'negative' tweets about the regimes in Saudi (part owner of Twitter) or China (key production base of Tesla). https://t.co/H2r2h74j8q"
572,"Twitter inserts ads into timelines, they are not attached to specific tweets. Revenue is not shared with the tweeter. It's almost like... Musk is bullshitting and doesn't know how Twitter works! https://t.co/lGx469yvfw"
573,"Now this is *all* hate tweets, right Elon? Ol' Musky pal? Anti-*any* political affiliation? Anti-*any* religious organization? *ALL* hate/negative tweets right? Of course, right? https://t.co/1zlnJ8PqXH"
574,“Negative tweet” is redundant https://t.co/JaVkHRJfoW
575,"How will Twitter define ""Negative"" or ""Hate"" tweets @elonmusk? https://t.co/eOKmsP2cq8"
576,"Can someone please define ""negative tweet"" for me https://t.co/3wjvLPQZVd"
577,"New Twitter policy is freedom of speech, but not freedom of reach.

Negative/hate tweets will be max deboosted &amp; demonetized, so no ads or other revenue to Twitter. 

You won’t find the tweet unless you specifically seek it out, which is no different from rest of Internet. https://t.co/nQYkzNHvfg"
578,Algorithmic manipulation is literally a textbook form of speech suppression. https://t.co/pRODPoSmvI
579,"Finally, newer, better, Elon endorsed shadow banning. https://t.co/BZSdV8Dj7O"
580,And a 'hate tweet' is...? https://t.co/xwmR5nun9p
581,Twitter is love. ❤️ https://t.co/qEqbktPt5p
582,"A key principle of speech regulation pre-Internet was punishing the speech, not the speaker. The system focused on specific damage and encouraged speakers who crossed lines to stay in the debate, but learn from mistakes. Permanent bans discourage such growth. This is good news. https://t.co/RaM1IJ69q6"
583,Hey hey. https://t.co/S1AwxtI1LU
584,"By who?

...also when were Tweets monetized?

Obvs, private company - he's ""allowed"" to amplify or ""hide"" whatever he wants, but it's illustrative that ""Freeze Peach"" absolutism is always an impossible lie no matter who is claiming it https://t.co/MM6POxAkzw"
585,This is stupid. https://t.co/S3tOnjuSEv
586,"I think by this he means anything that makes him feel dissed...big ego, no backbone https://t.co/lNqQVyMfTD"
587,revolutionary stuff here https://t.co/yRtO7AaImr
588,Ça ne fait que 12 millions de tweets par salarié et par jour à checker c’est jouable https://t.co/XvNHgADLxA
589,negative/hate tweets or negative/hate tweets directed at YOU? 🤔 https://t.co/zXtzLnB7m7
590,Gracias Elon. https://t.co/r6IEHOpuif
591,"For what it's worth, and there is a lot to consider behind this tweet, *but it's on target directionally.* The focus shouldn't be on the very existence of the content but how the platform microtargets audiences providing it velocity and reach.

A positive from me on a Friday. https://t.co/HNAUPhZZA0"
592,"[guy who understands Twitter]: ""No more negative tweets."" https://t.co/5oW2Snfqat"
593,this is just actual shadowbanning lmfao good work https://t.co/7YK9wmmfca
594,Elon Musk shares Twitter’s new policy on freedom of speech on the platform. https://t.co/oDADaG3iU4
595,This isn’t crazy. https://t.co/p2pqHyYz0Z
596,Wait - tweets have been monetized? WHERE IS MY MONEY ELON https://t.co/xUYhZp8dQf
597,Who decides what is a negative/ hate tweet? https://t.co/H1nbBkf4iE
598,"We've reached the ""just make it rhyme"" phase of policy-making on Twitter. https://t.co/qDOjYhVbT0"
599,"“Negative/hate tweets will be max deboosted &amp; demonetized, so no ads or other revenue to Twitter.”

It’s good we all agree what ‘negative/hate tweets’ are, or this might get a bit contentious https://t.co/gJ0Xmv9jR9"
600,https://t.co/bFPJSnP2vz https://t.co/HJeNtL1Xnc
601,"From now on all my tweets will be positive as I seek to maximize reach and per-tweet ROI. 

Everything is very good and you’re all awesome. Climate change means island paradises for all. Repression has vitamins. Jordan Peterson is your dad and he loves you very much. https://t.co/eZGGqnuM3I"
602,"Headline: Elon Musk Endorses Shadowbanning

Lede: In what amounts to a reiteration of Twitter's policies since 2018, Twitter CEO Elon Musk, shared that the company would hide ""hate tweets"" from view. https://t.co/xUMrhSvnLk"
603,Boh https://t.co/AzROFjxDkh
604,What exactly is a ‘negative’ tweet? Distinct from a hate tweet ? https://t.co/kJJrdQOPO3
605,Testing this out... Nickelback sucks https://t.co/nbczHGyLsY
606,presumably if lots of people retweet or quote tweet something racist it’ll still go viral..? https://t.co/5XGbIXJidb
607,https://t.co/jXPniLGItF https://t.co/19XYE84ob0
608,"So.... not freedom of speech. You can't have it both ways.

Who is the one who decides exactly what a negative/hate Tweet is? https://t.co/zmr6Hoam8t"
609,"This is the right goal: freedom of speech, not freedom of reach. 

Here is how to accomplish it: https://t.co/lan9Pjdr9j https://t.co/DXRtIv7JNz"
610,"Every corporate acquisition is basically a process of a bunch of people getting fired, the CEO declaring the old ways are dead, the CEO finding out the hard way why the old ways existed in the first place, and the old ways quietly being reimplemented under new management. https://t.co/TZaiA9xPsa"
611,Business opportunity: online course in satire and sarcasm so you can politely tell people to fuck off without being deboosted. #NewTwitter https://t.co/cRqnnDbwJN
612,"“Negative” tweets will be “deboosted &amp; demonetized” sooooo, what, expect the timeline to read like a series Tony Robbins for Hallmark bon mots? https://t.co/dCnthVfcVw"
613,"Esse cara consegue ser ainda mais insuportável do que a própria fan base, composta basicamente por incels, cucks involuntários, CEO's de MEI e Uberos reaças. https://t.co/yjeU3kZNvZ"
614,"Shadowbanning is now an official, announced Twitter policy... https://t.co/My7KZmdbm8"
615,"I do not know what our contemporary world’s standards for “free speech” ought to be, but it definitely is not “whatever this dude thinks” https://t.co/hA1iugxsDt"
616,I love this https://t.co/UtmvsqbKCq
617,"The word “negative” is too much of broad term like I can say “hey fuck you Elon musks, you’re a piece of shit”. That can be deemed “negative” but is still within the rights of free speech https://t.co/kVfeVxT3lS"
618,Why spend $44 billion dollars just to continue censoring? https://t.co/ndzYBeNKpM
619,"Grouping ""negative/mean tweets"" with hateful content is SUCH a great moderation policy. You're doing SUCH a good job at running Twitter, Transphobic Space Boy /s https://t.co/tgvdXVwz6W"
620,"Any person who used current software equipped with determining positive and negative sentiment is shaking right now. 

Negativity is a brutally difficult metric. https://t.co/WT9saKZFZn"
621,https://t.co/RDKo6IMTYb https://t.co/IGTxCg5IxT
622,"What is 'negative' is such a subjective determination

That this means you will NOT effectively
allowing free speech

Which will determine the value or lack thereof of Twitter in my view. https://t.co/ZsoVhG2tuy"
623,Elon Musk now is cool with shadow banning https://t.co/P3QwF33GeG
624,Bro tryna rap😭 https://t.co/SYUrtP8iXf
625,All that whining &amp; drama to end up at *checks notes* “no different from the rest of the internet” https://t.co/XwHsIqQ5gh
626,Nuevas políticas de Twitter📱 https://t.co/wc0YtR3qqh
627,"Not new. Here's Vijaya laying out this policy in 2015, in the Washington Post. https://t.co/qOmHzonKG2 https://t.co/nUNTPzeZkU"
628,Care to define “negative” ? because coming from you that could mean fuck all. Or are you just tweeting policy as it comes to you and you’ll figure it out later? Or not. Who cares. https://t.co/z1cLgdk523
629,So who decides what a negative tweet is? https://t.co/bDn9vYs1ub
630,But if I pay 9$ am I allowed to be negative? https://t.co/T1Gzzk8OC1
631,how does it feel to be the dumbest rich guy https://t.co/qKNfbkOmLJ
632,Huh. Who decides what is negative/hate tweets? And this is different from before for free speech how? https://t.co/Vjyc32A771
633,It’s called censorship. Plain and simple. Who defines a “negative tweet”? https://t.co/2Hm8mXfqJk
634,"This doesn’t address the underlying content moderation problem at all, which again, is a philosophical and ethics problem, not a technical problem. https://t.co/fKDSqrCZ5a"
635,"worth mentioning:

a.) LOTTA people still use twitter chronologically. unless hate tweets will be hidden (as opposed to ""deboosted"" or whatever) they'll still be visible

2.) a policy of simply not promoting hate speech still means harassment will naturally drive off the harassed https://t.co/tFkQqCMPb3"
636,Keep calm and trust Elon Musk https://t.co/x6tws7sleY
637,"a right wing billionaire troll is going to amplify things that right wing billionaire trolls like and bury stuff right wing billionaire trolls don't like

small, independent voices that criticize corporate power, labor abuses, and general fuckery will be first against the wall https://t.co/00v03YzGdk"
638,"Olha aí…
Tá querendo devolver o Twitter para a extrema-direita. https://t.co/XYh2lqE7Qb"
639,And now you know…the rest of the story. https://t.co/OWGxJDaKQk
640,By that definition everyone with a notepad has freedom of speech so censorship is a-okay. https://t.co/Lc8eEXIwMH
641,You honestly can't make this shit up. https://t.co/guJq0TC7C4
642,ngi https://t.co/yaVQFLiFjR
643,Does this mean all my posts about Scott McTominay get buried or https://t.co/dcphGVLHYt
644,Nah this ain’t it. Who or what decides what constitutes a “negative/hate” tweet? Rethink this. Won’t go over well at all. https://t.co/OuVkrlMC71
645,This did not pass the vibe check https://t.co/H1HwBxujoq
646,"[Thread] Elon Musk says ""new Twitter policy"" will deboost and demonetize ""negative/hate tweets"", reinstates Kathy Griffin, Jordan Peterson, and Babylon Bee (@elonmusk)

https://t.co/PQI2PyE9WV
https://t.co/1H0BTuBeUL"
647,melhor que nós temos https://t.co/437ktWM92E
648,mr spaceships sez posi vibes only ✌️🥰 i can’t wait to see him lose all his money :) https://t.co/UOgSQVTxwg
649,https://t.co/jOVuKNL2zc https://t.co/yk0eLkFqko
650,The real question is does this apply to negative/hate tweets involving Gonzaga basketball. https://t.co/9nJwj6dN6X
651,Trochę #facepalmowo się zrobiło https://t.co/Uq8aEcG2Wq
652,"Hey @elonmusk 

Are these actions ""hate""?

Will they be suppressed on Twitter?
https://t.co/NXieUAgOGh https://t.co/HzanKl1nwX"
653,"Mmm no sé cómo lo va a manejar, está echando a perder a Twitter su propio dueño https://t.co/aTXLUCoxNv"
654,Genuine philosophical question for folks who self-identify as free speech absolutists: How is Elon burying bad tweets on the world’s “de facto public town square” different from college students organizing to stop white nationalists from having a platform to speak on campus? https://t.co/rA5Oc6AAyn
655,Who determines negative/hate speech?? https://t.co/BncEfWgrEI
656,"Jak dla mnie, głupota 🤦‍♂️ https://t.co/TtUfrQT78M"
657,"""hate tweets"" are allowed but Twitter will not directly profit from them https://t.co/vfPniIXLno"
658,Define negative. https://t.co/J4LXasvFkc
659,Musk wants a pay-to-play social-media caste system. MAGAs have been conned/primed into believing a secret one of those already exists—just to punish them for being dumb enough to believe Trump’s lies—So now when Elon sells them his new system they see it as liberation—but is it? https://t.co/xSvzBwsSE9
660,"Melon Husk's speed run of content moderation history is now complete.

There never was ""absolute free speech"" anywhere on the internet. Not even on places like 8chan. This was a good thing. 

Everyone knew this except for low-information white libertarian men like Melon Husk. https://t.co/FgQOqj5Wgk"
661,how is this going to happen with more than half of Twitter employees fired or quitting?? LMFAO https://t.co/SBSa4sXguy
662,Paano kapag may pinapatamaan ka lang sa quotes? Hate speech na yern? Charot! https://t.co/vP5NMWiOGq
663,That's the right away. Still need to figure out what 'negative/ hate' actually is... https://t.co/rKaJajYEww
664,They've invented Shadowbanning https://t.co/Hmxn4dDUmK
665,If anyone else made themselves lord of Twitter MAGA would lose its mind. But they think Elon will rule for them. Because he’s signaled as much with his anti-Pelosi and democrats tweets. https://t.co/xSvzBwsSE9
666,What does “negative” mean? https://t.co/65G97mG0aB
667,"a libertyni myśleli myśleli, że będą bełkotać co im się podoba xDDDD https://t.co/FKiv9Q6ndp"
668,"Hey @elonmusk, credit @noUpside on ""freedom of speech is not freedom of reach"". https://t.co/fn1EsCEZQ0 https://t.co/Sr5svU2xmN"
669,this sounds like...content moderation 🥹 https://t.co/FvNcyCSRzb
670,"So we're back to Twitter deciding what constitutes negative speech? Wasn't the entire point of buying this to remove arbitration?

Also, JFC man, take a breath and at least RICE these stories before shipping. https://t.co/WmNTENGcKF"
671,Elon the Shadowbanner https://t.co/zAnnXzPJy7
672,"So if I call someone a “bitch” and that someone is Ted Cruz, is that considered a hate tweet? https://t.co/IKinQ5hxxP"
673,We will see https://t.co/rvgE3tMcaR
674,This is not new. Twitter has down-ranked or limited the reach of violating tweets for years. https://t.co/2vdsQQzfZp https://t.co/RN8rC8wykM
675,Let's test it. Elon Musk drinks piss from a baby bottle https://t.co/pI5FkKOpDb
676,"Limitar contenidos ""ofensivos"" o ""inapropiados"" ya era una regla opaca... Sumen ahora ""negativos"". Serán muy invisibilizados y desmonetizados, anuncia Musk. https://t.co/YeZTjkMIOn"
677,Hmm. https://t.co/4U1jqiWxsQ
678,I have questions. https://t.co/PEASPGGWNT
679,"Gaaf om te zien dat iemand 44 miljard besteedt aan een ego-project, te denken dat hij een probleem op een heel andere, unieke disruptive manier kan oplossen, en dan met exact dezelfde filosofie op de proppen komt die ieder ander netwerk sinds 2002 hanteert. https://t.co/UtahKX0NK1"
680,https://t.co/ruU032JpNV https://t.co/nPcVTLhzf8
681,"Free-speech absolutism meets business… Basically exactly the same as Twitter BM (Before Musk), except he won’t make you delete the tweet. https://t.co/TnLZDgh7XH"
682,Great to see Elon Musk fully embracing shadow banning ... https://t.co/FeWrHfxTWz
683,طيب انا من الصباح خليت قرايتي و راجياك تقفل التطبيق ... https://t.co/h0pe7m4nty
