,Tweet
103,"@catturd2 @lsferguson @elonmusk #FreedomOfSpeech
#ButNotFreedomOfReach
IDK bout ya all but Im still trying to figure out if he’s a good or bad guy. I can definitely say he has an awesome sense of humor but I just really don’t know which side of the fence he sits on https://t.co/RmBgiqfF6G"
104,@WSpaceCadet @MDigout99 https://t.co/xjB2FmBDH5
105,@sparklingruby @catturd2 Elon said in November… https://t.co/m9RgQG8rf6
106,@kourtneelynne @catturd2 https://t.co/pJlAixngCx
107,@catturd2 @overveenerick https://t.co/pJlAixngCx
108,"@labeelund @HelgeMorset Elon er for shadowbanning:

(https://t.co/2LNDfTYfZx)

Og lar deg kanskje betale for Twitter Blue og slippe unna. https://t.co/IPt36koAji (Prioritized rankings in conversations)

(Og han utestenger gjerne journalister.)

https://t.co/hfYcyqg82e"
109,@elonmusk @ggreenwald @mtaibbi Nigga dis you? https://t.co/ywnuKeWiba
110,@KimDotcom Isn’t this censorship? How is deeply hiding a tweet any different? https://t.co/WbrClK8tyz
111,Isn’t this censorship? https://t.co/WbrClK8tyz
112,@DavidDuhme @markusdd5 @KanzlerDerHerze „Freedom of Speech but not freedom of reach.“ https://t.co/VsJMEQDdeO
113,@Stultis_TheFool @tomcoates This one too. https://t.co/BVJV8ouQ2f
114,Freedom of speech means Twitter not putting its thumb on the scale. https://t.co/f7YbzyHOYm #MIND
115,"@HumbleMeans @Poganimal @KnowNothingTV He made clear that freedom of speech did not mean freedom of reach. Implicit in that was that rules would be in place moderating speech. It also accounted for amplifying reach of speech as a service, that you agree is consistent with their business model. https://t.co/CPPOMftpzl"
116,"Hier de uitleg van wat Musk bedoelde met deze uitspraak.

Heeft niks met hate speech te maken.

Het is zelfs zo erg dat reacties volledig verdwijnen. Ik heb het zelf met eigen ogen zien gebeuren vandaag.

Kijk deze video.

https://t.co/6yhPsDsIR9 https://t.co/pJlAixngCx"
117,i feel like weve gotten so used to the insanity that weve somehow forgotten that he said This https://t.co/q4k3ctpC1X
118,Only applies if it's hate/negative against Elon apparently https://t.co/59E4cR0Lmx
119,“Freedom of speech” huh https://t.co/6ow3HEUoOm
120,@elonmusk @TrungTPhan @stillgray Just apply this philosophy to those type of tweets and few people will see them anyway: https://t.co/U7mqupXUXr
121,The empty room fallacy. You can say what you want just in an empty room where on one can hear you. https://t.co/5l7vkslM0z
122,@AdamChodaba You make no sense. Does this sound like free speech absolutism. No. https://t.co/XJ0atANOUu
123,This is a mix of lies and unverified claims. #ElonLies https://t.co/otB3SXrXI3
124,"@elonmusk I see where this is going
https://t.co/qFozXn1fWt"
125,@Weightgainclyde @Schmoe1234Joe @JasonKoch69lol @DineshDSouza @vijaya @jack @FBI @Meta @YouTube @elonmusk freedom of speech not freedom of reach… https://t.co/J0CXn8r3P2
126,So terms of service? https://t.co/6Rg8tBNKwk
127,Thanks @chrisfox https://t.co/6Rg8tC4Nyk
128,"It’s almost as if libertarians actually understand how freedom of speech works, they just pretend they don’t when their team is getting called out. https://t.co/3RHCOnoYV6"
129,"Donc actuellement, on peut être ouvertement raciste sans soucis (a part moins de visibilité) mais par contre tweet un lien vers Mastodon c'est impossible ? Ce mec est un clown https://t.co/AFh6FxuOF1"
130,@PaulGJK @apmassaro3 👇 https://t.co/Nh83J19OBP
131,Mastodon排除とか言論の自由(freedom of speech)を掲げていたTwitterはどこに行った https://t.co/STdM25CpvS
132,@joeglow1977 @nothingPC @jason_kint https://t.co/Ymjq290Xu1
133,LMFAOOOO this is literally what ur problem with twitter WAS https://t.co/nUsXzTIxuu
134,“Free speech” https://t.co/trFnYCmpyE https://t.co/vW52Wt2DyX
135,"Elon Musk ha suspendido las cuentas de decenas de periodistas críticos.

Va un hilo de tuits de Elon Musk en los que decía que era un ""absolutista de la libertad de expresión"".

Empecemos por aquí ""la nueva política de Twitter es la libertad de expresión"". https://t.co/AUimJZnskT"
136,Or not. https://t.co/pbY8gUJSGO
137,Gattopardo Musk https://t.co/B91w8KHl8V
138,"@russ_trudeau @elonmusk @TheeAleexJ @kanyewest https://t.co/MH9QuowybE
Nazi praise is likely allowed under Elon's announced policy above. It's doubtful Nazi praise factors into Ye's current suspension. My slippery slope point regards Elon saying Ye violated the incitement to violence rule when that doesn't seem to be true."
139,@elonmusk @AndrewLawton I thought you wanted to muzzle negative/hate tweets? https://t.co/WbrClJQkkr
140,@chrish2122 @markyarm @ElonJet @JxckSweeney @stokel Here’s Elon’s decision regarding speech on Twitter: https://t.co/kVnLy0Q1gO
141,"@DaniNovarama @JMVillalobos1 @SrPurpura Pero a la gran mayoría de los “afectados” no se les quitó en ningún momento la posibilidad de participar en la conversación, solo se limitó el alcance de sus palabras

Elon lo explica bien en este tweet, aquí lo llama freedom of reach, tu lo llamas shadowbanning, lo mismo es https://t.co/Vl1ck9nTKK"
142,@KovarsScott @RepMattGaetz @elonmusk https://t.co/D6fn6bglSo
143,"@MKetello @Risenstrike @kittenhawk1 @Dawnmo777 @mtaibbi @ShellenbergerMD @bariweiss @JohnBasham Please tell me how Musk's new policy is different from the old one?

https://t.co/Ww1ppSIn2z

https://t.co/tgP60WsXBr"
144,Here’s the actual quote https://t.co/9q8c1lOWOP
145,https://t.co/pdXpaoKxBb https://t.co/iqElAhdyYR
146,#Shadowbanning https://t.co/WF5KIMuLWz
147,"Ele precisou gastar milhões de dólares pra perceber o óbvio, que liberdade de expressão é diferente de discurso de ódio.

Se fosse mais humilde, e não se achasse o Tony Stark na terra, teria aprendido isso grátis. https://t.co/8QAvxlxe9I"
148,What Elon has done here is he's invented shadow banning. https://t.co/yf25H7NXSB
149,"ué, HAIWOQYD9OSHDODJRJR https://t.co/c2i5NfKnGj"
150,"O cara tá repetindo tudo que outras pessoas já perceberam (e resolveram anos antes dele), como se fosse ele que tivesse percebido e agora fosse resolver 🤪 https://t.co/cvh9HkFNhm"
151,"@BuckSexton Here's a Tweet from Musk repeating the very idea you're clutching your pearls over with the ""Twitter Files"" nothingburger.

https://t.co/MXC1lT1USt"
152,"@Section_230 @NEWSMAX Very helpful additional context!

""not that a single website has to represent every conceivable point of view.""

Musk repeated this idea himself and pretended he thought it up- typical of how Musk has operated his entire life.

https://t.co/MXC1lT2sI1"
153,"New Twitter policy is freedom of speech, but not freedom of boo.

Boo tweets will be max debooed &amp; demonized, so no offense to Chief Twit. You won’t find the booing unless you specifically seek it elsewhere, which is quite different from rest of Internet.

#DaveChappelle #Musk https://t.co/Rip7bPIHdw"
154,"@elonmusk By your own standards your tweet should have negligible reach.

Your tweet does nothing but creates hate and negativity.

https://t.co/oHhgQnXNir"
155,"Alright here's the truth all along: The right don't give a shit about freedom of speech, demonetisation and shadowbanning. The only problem they have is the wrong guys being in charge. That's why the same people who cry foul on the Twitter leaks can also like and support this. https://t.co/94iw7crgtP"
156,"@SimpletonWill @John71Kee @EricMMatheny To be crystal clear, Twitter currently does exactly what you seem to consider shadowbanning https://t.co/J0CXn8rBEA"
157,"So, almost exactly like old twitter except now you're boosting vaccine misinformation and hate speech. https://t.co/M3MKDwYHDx"
158,"@lavern_spicer @bariweiss https://t.co/Nv8GnS1sK1
????????????????????"
159,Is this a new policy? https://t.co/PJdJTSd9Y1
160,it’s also exactly what Musk is doing. https://t.co/zcoHQu7fnq
161,Reminder: Elon Musk supports shadow-banning as well. #TwitterFiles2 #TwitterFiles https://t.co/m8472Y1ZPy
162,"Newest #TwitterFiles drop TL;DR

They shadowban people, but call it something different. They use filters that admins can see. They've done it to right wingers who insight hate or harassment. Same shit Elon is still planning to do just under other terms.
https://t.co/OMJ6WRFBKe"
163,@smokinwill @MichaelMaiello @Esqueer_ @bariweiss @charliekirk11 That’s literally what Elon is doing. He literally says here that you will have to go seek out the tweet to see it (navigate to the persons timeline). So what is the problem? Why can Elon do it but old twitter doing it is bad? Try to not be a hypocrite okay? https://t.co/9KBulEMoPg
164,@DavidSacks This Twitter executive who endorsed shadowbanning? https://t.co/56JUePftnu
165,"@CryptoWendyO @bariweiss @elonmusk Freedom of reach != freedom of speech

What Bari Weiss confirmed is just that. Confirmation no one needed. Let's not act surprised by it—that's how things should work. And even Elno agrees. https://t.co/KuLp1KU0d8"
166,twitter files part 2: https://t.co/SuLykpQoXK
167,"The difference between free speech and cancel culture, for the right, has always been who gets to do the banning https://t.co/fIvCpl42mq"
168,"So, according to #TwitterFiles2  the same as the old way. 👀 https://t.co/wMqYRLTwNv"
169,"@Bluntzki22 Even free speech “absolutist” Elon Musk agrees certain speech doesn’t have “freedom of reach” on Twitter, and they’re gonna limit the reach and demonetize hateful speech.

And it is even, there’s just much less violence and hate on the left. But Kathie Griffin was also banned 🤷‍♂️ https://t.co/AkiXSiBgYR"
170,"@RevShark How are these claimed ""censorships"" any different from Musks own proposal on how to moderate this platform? These twitter files revelations look kinda hypocritical actually https://t.co/GXURcyVWG0"
171,@mtaibbi https://t.co/jv54yXgt63
172,https://t.co/rHuOJpRPV4 https://t.co/PCnYYIz8OD
173,@FoxNews https://t.co/87YzJblAXd
174,@mtracey https://t.co/RwmP1iNhji
175,"Remember this from 3 weeks ago?

Musk himself has literally suggested a policy identical to what he's accusing former management of doing.

He's literally describing ""shadow banning"". https://t.co/Uwwv4lZHms"
176,"@SebGorka @SteveWorks4You @elonmusk I don't know if the term itself exists, but Musk essentially promised to do the same thing in certain circumstances early on. https://t.co/GahkWeqnxP"
177,"So, the big bombshell from “The Twitter Files Part Deux” is that Twitter under previous ownership did… exactly what Musk has said he will do. https://t.co/GaPOYzP5Gj"
178,"@kayvz @bariweiss @elonmusk Clarified ""tweet"" will be deboosted, not the account itself. What you did was deboost the entire account FOREVER without any notification.

https://t.co/KCbXFRkWI3"
179,"Cambios en Twitter:
La nueva política de Twitter es la libertad de expresión, pero no la libertad de alcance.

Los tweets negativos / de odio serán despotenciados y desmonetizados al máximo, por lo que no habrá anuncios u otros ingresos para Twitter.
👇 https://t.co/JHfEba0FkE"
180,"@CKellyUAP @elonmusk So you support Musk's policy of shadowbanning then?

https://t.co/fDHcffRuAG"
181,@GuyDealership @elonmusk https://t.co/fDHcffRuAG
182,"Breaking News ... 

News from Next Week it's so breaking ... https://t.co/YHbhmJMvsz"
183,@beer_bro_ Like are you mad at this? https://t.co/3cUBc9SKXM
184,@unusual_whales @elonmusk Exactly what Elon is doing. https://t.co/8GJbH6WyGh
185,"Is there a definition of ""negative"" and ""hate"" somewhere? These feel like fundamentally subjective terms. https://t.co/VMU5MW5SmS"
186,Twitter files 2 coulda been a retweet: https://t.co/0UkPc9AjsT
187,"@ComradeAven @ClownWorld_ @AdamSchiff Very early on:
https://t.co/MjFbBLDzpD"
188,"@bariweiss So the shocking reveal is that Elon Musk’s own policy of “freedom of speech, but not freedom of reach” was already in place? https://t.co/C2Ef8Cv44c"
189,"I guess #TwitterFiles2 by @bariweiss says your “new Twitter policy”…. is exactly the same as the old Twitter policy!! That’s cool, Elon. I believe in recycling #TwitterGate #Twitterfiles https://t.co/QNwSEukgbk https://t.co/F3qhHPV5Ky"
190,@bariweiss And how is this different than Musk’s  “not freedom of reach”? https://t.co/bOaPWHBmBJ
191,"@sandylanceley @OmariJHardy One last piece as I was looking for this, all Weiss is discussing is a policy Twitter still currently has… per Musk. So yeah… reactionary. Make it a great one. https://t.co/imXylNoEZi"
192,Meet the new boss. Same as the old boss. https://t.co/ESRtdkvuNJ
193,@bariweiss Something like this? https://t.co/vgFYB1ZgHG
194,"I’ve read tonight’s #TwitterFiles thread. Tl;dr: Twitter 1.0 had an undocumented, publicly-denied shadowbanning policy for such users as election denier and anti-vaxer Charlie Kirk. Fortunately, Twitter 2.0 has renounced shadowba… oh, wait, new boss says it will do just that. https://t.co/bPdQOfaaBJ"
195,@Naiyo78 @bariweiss @elonmusk https://t.co/NFW5Wyghpd
196,I’m old enough to remember what our Twitter Savior said about “deboosted” tweets. https://t.co/r5p8pEvcHw
197,@hlayfield They are using this to justify Elmo’s monumental failure overpaying for Twitter.  He thinks he’s owning the libs. But he uses the same policies and no word about transparency. https://t.co/UXsM8CMPDz
198,Now Musk’s little internal secret police are “uncovering” the idea that twitter has had a policy of removing controversial accounts from public places and not promoting them. Every social media platform does this by the way. It’s also Musk’s plan for the future. Waste of time. https://t.co/xACrNlPErg
199,@SethDillon @bariweiss It doesn’t. It’s exactly the same. https://t.co/xACrNlPErg
200,@bariweiss And that’s worse than… Musk doing it? https://t.co/xACrNlPErg
201,@bariweiss So exactly like Musk is proposing? https://t.co/xACrNlPErg
202,@bariweiss How do these features differ from what Musk is proposing in his “deboost” and “demonetize” lists? https://t.co/xACrNlPErg
203,"Elon Musk, three weeks ago:

https://t.co/uPR9NwoHob"
204,"""negative/hate tweets will be max deboosted"" *proceeds to replatform more neo nazis* https://t.co/xhUr0uBIl1"
205,"@28delayslater One the one side—he/Twitter has shown it’s not a free for all &amp; will not tolerate incitement, etc.

On the other, it’s not quite to the standard he set out on 11/18. https://t.co/G9EYU3zcSq"
206,@elonmusk What happened to this? Kanye’s pro-Hitler tweets are everywhere on my feed. https://t.co/zjltEIx8Po
207,@jklinger410 @MrXow @cannonarsenal @elonmusk https://t.co/xACrNlPErg
208,Thank you 🙌🎉 Make Twitter great again 😁 https://t.co/oWNzbWW3yH
209,@BeersxBeers @witzek @takeonme343 @cannonarsenal @elonmusk Here is the post in which he said it: https://t.co/xACrNlPErg
210,"@awesomekling I feel like they’re still around, but deboosted so we come across them less as often

&gt; Negative/hate tweets will be max deboosted https://t.co/oZLTKkNTEh"
211,Translation: no-one will see tweets critical of @elonmusk. https://t.co/b6Bl1xHLvH
212,Why has this been done to my account? https://t.co/QUGS6OpEHz
213,👏🏾👏🏾👏🏾👏🏾 https://t.co/NQHdbbOXHV
214,"@MrEqualizor @SamHarrisOrg @YeonmiParkNK @Twitter @elonmusk This is exactly Elon’s plan and people have told Sam this repeatedly. See this:
https://t.co/kG1UlEU4UH
The only problem is Sam emphatically believes in spreading disinformation as long as it is for what he thinks is good reasons:
https://t.co/IBNA62404W"
215,Quite likely Musk will manipulate the discussion on Twitter according to his personal preferences. https://t.co/DfysmHhveC
216,"Wait, so is this just...shadow banning? Can someone explain the difference to me? https://t.co/Tpybh1iRyV"
217,can’t wait to see how this plays out lol https://t.co/uwcHGAZUId
